MapObject Profiler Snapshot
CopiedAt	2026-09-06 01:12:22
Enabled	True
Frame	19717
WindowMs	1016.083
32	Runtime	Installation Placement LateUpdate	InstallationPlacementController	-1	0	44	0.137	3.12	32.3
33	Update	Electric Oil machine [1]	OilDrillingMachine	50	1	10	0.117	11.74	20.2
34	Update	Logging machine [1]	LoggingMachine	62	1	10	0.111	11.08	26
35	Update	Seed Planter [1]	SeedPlanter	63	1	10	0.093	9.33	13.1
36	Update	Fluid tank [4]	Fluidtank	54	4	40	0.092	2.31	8.6
37	Runtime	Conveyor Item Refresh Dynamic Set [2,419]	PortableItemRenderer	-1	0	44	0.067	1.52	25.7
38	Runtime	Conveyor Item Render Dynamic [2,419]	PortableItemRenderer	-1	0	44	0.056	1.282	3.9
39	Runtime	Conveyor Item Dynamic ScheduleMatrices [2,419]	PortableItemRenderer	-1	0	44	0.044	1.005	1.5
40	Runtime	Conveyor Ensure Line Cache [372]	ConveyorEnsureLineCache	-1	0	44	0.042	0.961	1.8
41	Runtime	Conveyor Process Line Retries [372]	ConveyorProcessLineRetries	-1	0	44	0.034	0.775	1.3
42	Runtime	Conveyor Item Dynamic CompleteMatrices [2,419]	PortableItemRenderer	-1	0	43	0.02	0.467	1
43	Runtime	Conveyor Item Reconcile Dynamic Cache [2,419]	PortableItemRenderer	-1	0	5	0.009	1.86	6.2
